,def,ident,call,int,float,string,int_constant,float_constant,string_constant,break,print,read,return,if,else,for,new,null,(,),{,},;,=,<,>,<=,>=,==,!=,[,],*,+,-,/,%,",",$
PROGRAM,['FUNCLIST'],['STATEMENT'],[],['STATEMENT'],['STATEMENT'],['STATEMENT'],[],[],[],['STATEMENT'],['STATEMENT'],['STATEMENT'],['STATEMENT'],['STATEMENT'],[],['STATEMENT'],[],[],[],[],['STATEMENT'],[],['STATEMENT'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['EPSILON']
FUNCLIST,"['FUNCDEF', 'FUNCLIST2']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FUNCLIST2,['FUNCLIST'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['EPSILON'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['EPSILON']
FUNCDEF,"['def', 'ident', '(', 'PARAMLIST', ')', '{', 'STATELIST', '}']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PARAMLIST,[],[],[],"['int', 'ident', 'PARAMLIST2']","['float', 'ident', 'PARAMLIST2']","['string', 'ident', 'PARAMLIST2']",[],[],[],[],[],[],[],[],[],[],[],[],[],['EPSILON'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PARAMLIST2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['EPSILON'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[',', 'PARAMLIST']",[]
STATEMENT,[],"['ATRIBSTAT', ';']",[],"['VARDECL', ';']","['VARDECL', ';']","['VARDECL', ';']",[],[],[],"['break', ';']","['PRINTSTAT', ';']","['READSTAT', ';']","['RETURNSTAT', ';']",['IFSTAT'],[],['FORSTAT'],[],[],[],[],"['{', 'STATELIST', '}']",[],[';'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
VARDECL,[],[],[],"['int', 'ident', ""VARDECL'""]","['float', 'ident', ""VARDECL'""]","['string', 'ident', ""VARDECL'""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
VARDECL',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['EPSILON'],[],[],[],[],[],[],[],"['[', 'int_constant', ']', ""VARDECL'""]",[],[],[],[],[],[],[],[]
ATRIBSTAT,[],"['LVALUE', '=', 'ATRIBSTAT2']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ATRIBSTAT2,[],['EXPRESSION'],['FUNCCALL'],[],[],[],['EXPRESSION'],['EXPRESSION'],['EXPRESSION'],[],[],[],[],[],[],[],['NEW'],['EXPRESSION'],['EXPRESSION'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['EXPRESSION'],['EXPRESSION'],[],[],[],[]
FUNCCALL,[],[],"['call', 'ident', '(', 'PARAMLISTCALL', ')']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
